2010-05-26T09:17:28	Fast_Shutter	CLOSED
2010-05-26T09:41:34	Guide_Pressure	7.2
2010-05-26T09:41:46	Moderator_Temp	37
2010-05-26T09:41:53	Moderator_Temp	36
2010-05-26T09:41:56	Moderator_Temp	35
2010-05-26T09:42:00	Moderator_Temp	34
2010-05-26T09:42:05	Moderator_Temp	35
2010-05-26T09:42:08	Moderator_Temp	36
2010-05-26T09:42:31	Moderator_Temp	37
2010-05-26T09:42:34	Guide_Pressure	7.1
2010-05-26T09:43:00	Moderator_Temp	38
2010-05-26T09:43:46	Guide_Pressure	7
2010-05-26T09:43:49	Guide_Pressure	7.1
2010-05-26T09:43:56	Guide_Pressure	7
2010-05-26T09:44:19	Moderator_Temp	37
2010-05-26T09:44:20	Moderator_Temp	36
2010-05-26T09:44:26	Moderator_Temp	35
2010-05-26T09:44:28	Moderator_Temp	36
2010-05-26T09:44:38	Moderator_Temp	37
2010-05-26T09:45:20	Moderator_Temp	38
2010-05-26T09:45:23	Moderator_Temp	37
2010-05-26T09:45:27	Moderator_Temp	38
2010-05-26T09:45:37	Moderator_Temp	37
2010-05-26T09:45:40	Moderator_Temp	38
2010-05-26T09:45:57	Guide_Pressure	6.9
2010-05-26T09:47:36	Moderator_Temp	37
2010-05-26T09:47:45	Moderator_Temp	36
2010-05-26T09:47:53	Moderator_Temp	35
2010-05-26T09:47:57	Moderator_Temp	34
2010-05-26T09:48:02	Moderator_Temp	33
2010-05-26T09:48:07	Table	40.626
2010-05-26T09:48:08	Table	40.385
2010-05-26T09:48:10	Moderator_Temp	32
2010-05-26T09:48:17	Moderator_Temp	31
2010-05-26T09:48:27	Moderator_Temp	30
2010-05-26T09:48:43	Julabo_1	41.79
2010-05-26T09:48:45	Julabo_1	41.69
2010-05-26T09:48:53	Moderator_Temp	29
2010-05-26T09:48:55	Julabo_1	41.42
2010-05-26T09:48:56	Julabo_2	36.89
2010-05-26T09:49:01	Julabo_2	36.74
2010-05-26T09:49:03	Moderator_Temp	30
2010-05-26T09:49:04	Julabo_2	36.61
2010-05-26T09:49:05	Moderator_Temp	29
2010-05-26T09:49:06	Julabo_2	36.45
2010-05-26T09:49:09	Julabo_2	36.27
2010-05-26T09:49:11	Julabo_1	41.52
2010-05-26T09:49:12	Julabo_2	36.12
2010-05-26T09:49:14	Julabo_2	35.95
2010-05-26T09:49:15	Julabo_2	35.79
2010-05-26T09:49:17	Julabo_2	35.65
2010-05-26T09:49:20	Julabo_2	35.54
2010-05-26T09:49:23	Julabo_2	35.39
2010-05-26T09:49:25	Julabo_2	35.29
2010-05-26T09:49:27	Julabo_1	41.63
2010-05-26T09:49:29	Julabo_2	35.11
2010-05-26T09:49:33	Julabo_2	34.95
2010-05-26T09:49:36	Julabo_2	34.79
2010-05-26T09:49:41	Moderator_Temp	28
2010-05-26T09:49:42	Julabo_2	34.63
2010-05-26T09:49:46	Moderator_Temp	29
2010-05-26T09:49:47	Julabo_2	34.48
2010-05-26T09:49:53	Julabo_2	34.33
2010-05-26T09:49:56	Moderator_Temp	28
2010-05-26T09:49:59	Julabo_2	34.19
2010-05-26T09:50:04	Moderator_Temp	29
2010-05-26T09:50:04	Julabo_2	34.06
2010-05-26T09:50:06	Moderator_Temp	28
2010-05-26T09:50:10	Julabo_2	33.92
2010-05-26T09:50:12	Moderator_Temp	29
2010-05-26T09:50:12	Rear_Det_Temp	NaN
2010-05-26T09:50:17	Moderator_Temp	28
2010-05-26T09:50:17	Julabo_2	33.79
2010-05-26T09:50:22	Julabo_2	33.66
2010-05-26T09:50:24	Table	37.484
2010-05-26T09:50:25	Table	31.780
2010-05-26T09:50:27	Table	24.608
2010-05-26T09:50:28	Table	18.797
2010-05-26T09:50:28	Julabo_2	33.53
2010-05-26T09:50:29	Table	11.844
2010-05-26T09:50:30	Table	5.997
2010-05-26T09:50:30	Rear_Det_Temp	32.6
2010-05-26T09:50:31	Table	0.363
2010-05-26T09:50:32	Table	-6.524
2010-05-26T09:50:33	Table	-12.235
2010-05-26T09:50:33	Julabo_2	33.42
2010-05-26T09:50:34	Table	-19.199
2010-05-26T09:50:36	Table	-26.135
2010-05-26T09:50:37	Table	-31.868
2010-05-26T09:50:38	Julabo_2	33.28
2010-05-26T09:50:46	Julabo_2	33.15
2010-05-26T09:50:52	Julabo_2	33.03
2010-05-26T09:50:57	Julabo_2	32.91
2010-05-26T09:51:04	Julabo_2	32.8
2010-05-26T09:51:10	Julabo_2	32.68
2010-05-26T09:51:16	Julabo_2	32.56
2010-05-26T09:51:21	Julabo_2	32.45
2010-05-26T09:51:29	Julabo_2	32.32
2010-05-26T09:51:35	Julabo_2	32.2
2010-05-26T09:51:41	Julabo_2	32.08
2010-05-26T09:51:49	Julabo_2	31.95
2010-05-26T09:51:50	Guide_Pressure	6.8
2010-05-26T09:51:53	Guide_Pressure	6.9
2010-05-26T09:51:56	Julabo_2	31.83
2010-05-26T09:52:00	Table	-30.166
2010-05-26T09:52:01	Moderator_Temp	27
2010-05-26T09:52:01	Table	-24.482
2010-05-26T09:52:02	Guide_Pressure	6.8
2010-05-26T09:52:02	Table	-17.518
2010-05-26T09:52:03	Moderator_Temp	28
2010-05-26T09:52:03	Table	-11.774
2010-05-26T09:52:03	Julabo_2	31.7
2010-05-26T09:52:04	Table	-5.910
2010-05-26T09:52:05	Table	-0.231
2010-05-26T09:52:06	Table	6.737
2010-05-26T09:52:07	Table	12.574
2010-05-26T09:52:09	Moderator_Temp	27
2010-05-26T09:52:09	Table	19.412
2010-05-26T09:52:10	Table	25.276
2010-05-26T09:52:11	Table	31.119
2010-05-26T09:52:11	Julabo_2	31.58
2010-05-26T09:52:12	Table	36.950
2010-05-26T09:52:13	Table	43.947
2010-05-26T09:52:14	Table	49.838
2010-05-26T09:52:15	Table	55.468
2010-05-26T09:52:16	Table	62.399
2010-05-26T09:52:17	Table	69.319
2010-05-26T09:52:17	Julabo_2	31.45
2010-05-26T09:52:19	Table	74.992
2010-05-26T09:52:20	Table	82.306
2010-05-26T09:52:21	Table	87.919
2010-05-26T09:52:22	Table	94.975
2010-05-26T09:52:23	Table	101.704
2010-05-26T09:52:23	Julabo_2	31.34
2010-05-26T09:52:24	Table	107.289
2010-05-26T09:52:26	Table	114.144
2010-05-26T09:52:27	Table	121.085
2010-05-26T09:52:28	Table	126.764
2010-05-26T09:52:29	Table	133.679
2010-05-26T09:52:30	Table	140.381
2010-05-26T09:52:30	Julabo_2	31.22
2010-05-26T09:52:31	Table	141.342
2010-05-26T09:53:11	Julabo_2	30.54
2010-05-26T09:53:18	Julabo_2	30.41
2010-05-26T09:53:26	Julabo_2	30.29
2010-05-26T09:53:31	Julabo_2	30.18
2010-05-26T09:53:37	Julabo_2	30.08
2010-05-26T09:53:46	Julabo_2	29.94
2010-05-26T09:53:51	Julabo_2	29.84
2010-05-26T09:53:59	Julabo_2	29.73
2010-05-26T09:54:06	Julabo_2	29.62
2010-05-26T09:54:12	Julabo_2	29.52
2010-05-26T09:54:20	Julabo_2	29.39
2010-05-26T09:54:26	Julabo_2	29.28
2010-05-26T09:54:34	Julabo_2	29.18
2010-05-26T09:54:40	Julabo_2	29.08
2010-05-26T09:54:47	Julabo_2	28.95
2010-05-26T09:54:56	Julabo_2	28.8
